alpha_id,expr,sharpe,fitness,turnover,ic_mean
k8AQpv6,fnd6_mfma1_at/sales,0.52,0.52,0.036,0.007043
e1jrl5O,fnd6_cptmfmq_ceqq/sales,0.23,0.16,0.0376,0.00306
QW8QJ6r,fnd6_ein/sales,0.43,0.45,0.0457,0.00602
vYQmaqb,fnd6_dlto/sales,0.06,0.02,0.0395,0.000685
L8QR6X2,fnd6_newa1v1300_bkvlps/sales,-0.01,-0.0,0.0477,-6.1e-05
oPdYljv,liabilities/assets,1.35,1.09,0.0185,0.008737
gr23b7K,sales/assets,0.78,0.49,0.0217,0.004634
bxw9zbm,operating_income/assets,0.54,0.43,0.0343,0.004651
XN0KOV1,capex/assets,0.08,0.01,0.0216,0.000391
L8QRv0e,debt/assets,1.37,1.1,0.0282,0.005685
xlZxOlq,ebit/assets,0.13,0.05,0.024,0.001617
PPVp9kp,ebitda/assets,0.18,0.09,0.0252,0.002243
aRpdMM1,equity/assets,-1.46,-1.22,0.0219,-0.007928
PPVpnLK,enterprise_value/assets,-0.31,-0.19,0.0655,-0.001473
R5gp7ro,eps/assets,0.11,0.04,0.0451,0.000745
mKv8YN9,debt_lt/assets,1.31,0.99,0.0205,0.006999
oPdKZVm,assets_curr/assets,-0.12,-0.04,0.0187,-0.001155
8Gwzxwq,goodwill/assets,0.17,0.06,0.0217,0.001257
k8A0R9g,cash/assets,-0.26,-0.13,0.0236,-0.00267
lgmlR9x,income/assets,0.39,0.26,0.0416,0.002757
jV70gj5,revenue/assets,0.77,0.49,0.0217,0.004643
GQRLGbG,cogs/assets,0.44,0.19,0.022,0.002162
ZXJnAg1,cashflow_op/assets,0.17,0.08,0.0261,0.001919
e1j0NlN,bookvalue_ps/assets,-0.19,-0.09,0.0399,-0.001566
lgmlP22,ppent/assets,1.13,0.71,0.0208,0.004739
GQReP5Q,operating_expense/assets,0.27,0.09,0.0241,0.001258
WY5Va0P,inventory/assets,0.88,0.51,0.0217,0.00389
2GYNNob,cashflow/assets,-1.18,-1.05,0.0281,-0.007061
d9GRboX,sga_expense/assets,0.0,0.0,0.0269,3.2e-05
2GYN6YY,debt_st/assets,0.54,0.28,0.0339,0.001982
QW8GZJw,cash_st/assets,-0.41,-0.25,0.0216,-0.004386
pWLNrev,receivable/assets,1.08,0.75,0.0232,0.005148
oPdNeXl,return_equity/assets,-0.22,-0.15,0.0711,-0.00166
VMWGw6w,retained_earnings/assets,-0.24,-0.14,0.0364,-0.002205
MgrGKar,fnd6_fopo/assets,-0.29,-0.14,0.0294,-0.002113
q5RNlrK,income_tax/assets,0.32,0.14,0.0438,0.001121
vYQNOrQ,pretax_income/assets,0.43,0.31,0.04,0.003179
d9GZoVX,cashflow_fin/assets,-0.59,-0.46,0.0271,-0.005637
aRp7r7w,income_beforeextra/assets,0.42,0.3,0.0412,0.003064
8GwlbAz,current_ratio/assets,-0.45,-0.36,0.0356,-0.004468
ZXJ7ZkY,sales_growth/assets,0.31,0.28,0.0842,0.002477
0GJwQgG,return_assets/assets,-0.09,-0.04,0.0667,-0.000862
QW87EP5,inventory_turnover/assets,-0.75,-0.86,0.0441,-0.007411
6GkllQJ,sales_ps/assets,0.46,0.23,0.0195,0.00312
e1jz1aM,cashflow_dividends/assets,-0.0,-0.0,0.0242,-1e-06
6GklLM7,invested_capital/assets,-0.75,-0.44,0.0245,-0.003461
6GkrnwO,fnd6_drlt/assets,0.95,0.9,0.0182,0.012223
vYQk8bG,cashflow_invst/assets,0.27,0.11,0.0269,0.001413
6GkrOm7,employee/assets,0.21,0.07,0.0251,0.001197
NKZQWow,working_capital/assets,-0.5,-0.31,0.0222,-0.004385
vYQkzQd,depre_amort/assets,0.48,0.23,0.029,0.002007
R5gVdEn,fnd6_ivaco/assets,0.92,0.82,0.0313,0.006334
zAVYR3V,fnd6_drc/assets,1.21,0.94,0.0186,0.008174
7GpZNnb,fnd6_mrcta/assets,0.61,0.35,0.0275,0.00299
VMW6NpG,fnd6_fatl/assets,0.67,0.47,0.029,0.004333
wNrYGmp,rd_expense/assets,-0.18,-0.12,0.1019,-0.00111
n6EKXwa,interest_expense/assets,0.2,0.08,0.0325,0.001252
6Gkr63E,fnd6_ciother/assets,0.53,0.42,0.0282,0.005671
1GMxr7Q,fnd6_acdo/assets,0.61,0.49,0.0262,0.006258
zAV86AE,fnd6_acodo/assets,1.48,1.24,0.0199,0.00884
oPdLQLk,fnd6_adesinda_curcd/assets,-0.21,-0.12,0.0373,-0.002351
k8AoLak,fnd6_newa2v1300_rdipeps/assets,0.14,0.09,0.0311,0.002987
ALAN37e,fnd6_ci/assets,0.14,0.06,0.0319,0.001349
5GXzp06,fnd6_ceql/assets,-0.68,-0.38,0.0282,-0.002835
bxwb8Nq,fnd6_acox/assets,1.36,1.09,0.0203,0.007948
n6Edm2E,fnd6_newqv1300_ancq/assets,0.1,0.03,0.0186,0.000999
oPdLrVJ,fnd6_zipcode/assets,-0.27,-0.16,0.0386,-0.002369
mKvmN66,fnd6_intc/assets,0.43,0.24,0.0221,0.003469
J39NA7W,fnd6_capxv/assets,0.15,0.04,0.0216,0.000704
2GYmrx5,fnd6_rea/assets,-0.07,-0.02,0.0397,-0.000602
ZXJA3PY,fnd6_itci/assets,0.99,1.06,0.0298,0.009675
EmdRJKr,fnd6_lcox/assets,0.69,0.43,0.0216,0.004454
bxwO2VM,fnd6_state/assets,-0.36,-0.24,0.0376,-0.002871
1GMZmQM,fnd6_recd/assets,0.03,0.01,0.029,0.00028
zAVbOwX,fnd6_am/assets,0.15,0.04,0.0228,0.000948
O638p3d,fnd6_ch/assets,-0.42,-0.23,0.0217,-0.003501
r0xeOQ8,fnd6_xrent/assets,0.66,0.41,0.0285,0.00335
ZXJAm9d,fnd6_newqv1300_drltq/assets,0.93,0.85,0.024,0.008698
EmdRL10,fnd6_txo/assets,0.1,0.04,0.0366,0.001049
GQRON1x,fnd6_exre/assets,0.5,0.29,0.0266,0.003074
7Gp65JL,fnd6_cik/assets,-0.48,-0.42,0.0479,-0.003932
QW8YPEw,fnd6_newqv1300_drcq/assets,1.11,0.85,0.0257,0.00566
d9GKAew,fnd6_newqv1300_acomincq/assets,-0.56,-0.31,0.0338,-0.002252
lgmMJqx,fnd6_city/assets,-0.59,-0.57,0.0424,-0.005409
J39PYoj,fnd6_weburl/assets,-0.45,-0.39,0.0431,-0.004441
ALAQkke,fnd6_mfmq_cshprq/assets,-0.32,-0.24,0.0344,-0.004067
ALAQPJe,fnd6_newa2v1300_ppent/assets,1.37,1.0,0.0183,0.007261
6GkAlOE,fnd6_cshtrq/assets,-0.22,-0.16,0.0479,-0.002863
6GkAlOE,fnd6_cshtrq/assets,-0.22,-0.16,0.0479,-0.002863
5GXjAmn,fnd6_mrc2/assets,0.6,0.36,0.0296,0.002988
R5gAwpo,fnd6_cptmfmq_opepsq/assets,0.18,0.08,0.0415,0.001283
3GNoM9Q,fnd6_incorp/assets,0.04,0.01,0.0383,0.000371
q5RLz9V,fnd6_teq/assets,-0.82,-0.51,0.0206,-0.004766
ALAVnYE,fnd6_cptmfmq_lctq/assets,0.99,0.71,0.0239,0.005379
8GwRMEo,fnd6_newa1v1300_gp/assets,0.72,0.5,0.0197,0.006153
zAVdZ0V,fnd6_loc/assets,-0.53,-0.54,0.0354,-0.007398
mKvaz32,fnd6_acqgdwl/assets,-0.84,-0.62,0.0323,-0.004236
xlZvepb,fnd6_fyrc/assets,-0.36,-0.27,0.0451,-0.003074
oPdalZ2,fnd6_newqv1300_intanoq/assets,-0.1,-0.02,0.028,-0.000436
0GJPXR6,fnd6_mfma1_at/assets,0.77,0.53,0.0471,0.002503
zAVdGvR,fnd6_cptmfmq_ceqq/assets,-1.46,-1.22,0.0219,-0.007928
QW80p5p,fnd6_ein/assets,-0.03,-0.01,0.0448,-0.000212
k8A8EWg,fnd6_dlto/assets,1.08,0.74,0.0252,0.004646
2GYGbow,fnd6_newa1v1300_bkvlps/assets,-0.2,-0.1,0.04,-0.001632
Em9jp2G,assets/liabilities,-0.15,-0.06,0.0362,-0.001125
e1XYG2g,sales/liabilities,0.83,0.69,0.0226,0.007679
0G1Va82,operating_income/liabilities,0.51,0.38,0.0311,0.004444
zAlx7no,capex/liabilities,-0.16,-0.06,0.0242,-0.001364
5GPXnbM,debt/liabilities,0.99,0.67,0.0277,0.004134
R5GgXdz,ebit/liabilities,0.58,0.47,0.0248,0.006605
XNd0Pj0,ebitda/liabilities,0.57,0.45,0.0257,0.006093
Em9drER,equity/liabilities,-0.2,-0.09,0.0363,-0.00149
pW9L63v,enterprise_value/liabilities,-1.05,-1.33,0.0623,-0.006439
1GrMpA6,eps/liabilities,0.25,0.13,0.0396,0.001677
J369Qdn,debt_lt/liabilities,1.12,0.81,0.0217,0.00605
Em9dNJ9,assets_curr/liabilities,-0.19,-0.08,0.0267,-0.001759
xlJZ5Qb,goodwill/liabilities,-0.57,-0.29,0.0239,-0.00273
XNd0Abb,cash/liabilities,-0.22,-0.11,0.0293,-0.001999
mKEEPLx,income/liabilities,0.17,0.07,0.0372,0.001221
KVWW3Y1,revenue/liabilities,0.83,0.69,0.0226,0.00767
R5GGnYz,cogs/liabilities,0.57,0.4,0.0242,0.005176
6G55P6p,cashflow_op/liabilities,0.13,0.05,0.0269,0.001274
VMAAX7J,bookvalue_ps/liabilities,-0.66,-0.57,0.0417,-0.004538
ALoowER,ppent/liabilities,0.0,0.0,0.0212,3.3e-05
NKYYQK7,operating_expense/liabilities,0.28,0.14,0.025,0.002497
lgooA17,inventory/liabilities,0.85,0.74,0.0234,0.008045
NKYYlLL,cashflow/liabilities,-0.59,-0.47,0.0327,-0.004808
GQZZZg3,sga_expense/liabilities,-0.16,-0.07,0.0271,-0.001568
jo55R9e,debt_st/liabilities,0.0,0.0,0.0327,1.5e-05
jo55Ng9,cash_st/liabilities,-0.33,-0.18,0.0263,-0.002948
ENZZb9K,receivable/liabilities,0.36,0.25,0.0244,0.004877
ZgRR2g3,return_equity/liabilities,-0.06,-0.02,0.0595,-0.000491
aerrERW,retained_earnings/liabilities,-0.13,-0.06,0.036,-0.001242
31MM0Mg,fnd6_fopo/liabilities,-0.16,-0.07,0.0336,-0.001275
31MMkPZ,income_tax/liabilities,0.77,0.55,0.0447,0.002903
KvKKpeg,liabilities_curr/liabilities,-0.34,-0.14,0.0209,-0.002034
LEPP0nM,pretax_income/liabilities,0.22,0.11,0.0364,0.001641
XVjgEL1,cashflow_fin/liabilities,-0.59,-0.53,0.0393,-0.005183
NLX1qo8,income_beforeextra/liabilities,0.18,0.08,0.0368,0.001357
vZKR5Xv,current_ratio/liabilities,-0.61,-0.62,0.0435,-0.00599
ENZ5lzL,sales_growth/liabilities,0.13,0.08,0.0828,0.001072
lELeM6A,return_assets/liabilities,0.2,0.13,0.0526,0.001913
ENZ5Qb9,inventory_turnover/liabilities,-0.63,-0.59,0.0415,-0.005253
aerk0x1,sales_ps/liabilities,0.17,0.06,0.0218,0.001281
6ZnmXQE,cashflow_dividends/liabilities,-0.43,-0.25,0.0265,-0.003195
R9JjqZg,invested_capital/liabilities,-0.13,-0.05,0.0387,-0.000926
AeRjbXl,fnd6_drlt/liabilities,0.32,0.16,0.0187,0.003161
ZgRPrWx,cashflow_invst/liabilities,0.58,0.52,0.0423,0.004696
lELpj0N,employee/liabilities,-0.0,-0.0,0.027,-4e-06
0xbONK2,working_capital/liabilities,-0.18,-0.08,0.0277,-0.001672
oR18Z6v,depre_amort/liabilities,0.39,0.21,0.0295,0.002531
r91Y18m,fnd6_ivaco/liabilities,0.8,0.99,0.0566,0.006743
oR17M2v,fnd6_drc/liabilities,0.86,0.56,0.0195,0.005408
XVjGw0X,fnd6_mrcta/liabilities,-0.31,-0.14,0.0276,-0.001802
8VmbP3l,fnd6_fatl/liabilities,0.74,0.54,0.0295,0.004592
gXY6Vem,rd_expense/liabilities,-0.03,-0.01,0.0999,-0.0002
6Zn8VWG,interest_expense/liabilities,-0.09,-0.03,0.0354,-0.000571
lELqZkx,fnd6_ciother/liabilities,-0.63,-0.51,0.0289,-0.005625
ENZ7gzR,fnd6_acdo/liabilities,0.46,0.34,0.028,0.004788
oR1pgEn,fnd6_acodo/liabilities,0.85,0.79,0.0255,0.008431
gXYAQmv,fnd6_adesinda_curcd/liabilities,-0.41,-0.31,0.0378,-0.003747
R9J3ALg,fnd6_newa2v1300_rdipeps/liabilities,0.06,0.03,0.0321,0.00142
73kAMxL,fnd6_ci/liabilities,0.46,0.34,0.0315,0.004279
8VmoWGq,fnd6_ceql/liabilities,-0.23,-0.11,0.0345,-0.001555
jo5RQRk,fnd6_acox/liabilities,0.83,0.75,0.0258,0.007964
kvxrbM6,fnd6_newqv1300_ancq/liabilities,-0.29,-0.18,0.0421,-0.002225
MdjR5Na,fnd6_zipcode/liabilities,-0.48,-0.41,0.0398,-0.004504
oR15qon,fnd6_intc/liabilities,0.16,0.07,0.0241,0.002262
AeRZvwW,fnd6_capxv/liabilities,-0.06,-0.01,0.0241,-0.000495
lELO5V7,fnd6_rea/liabilities,-0.11,-0.04,0.041,-0.001008
MdjRnXr,fnd6_itci/liabilities,0.08,0.02,0.0284,0.000821
vZKME13,fnd6_lcox/liabilities,-0.07,-0.01,0.024,-0.000437
OR1EQPR,fnd6_state/liabilities,-0.58,-0.52,0.038,-0.005328
KvKja0k,fnd6_recd/liabilities,0.29,0.14,0.0303,0.001884
kvx2kEK,fnd6_am/liabilities,-0.2,-0.06,0.0248,-0.000921
GXqp35J,fnd6_ch/liabilities,-0.58,-0.42,0.0256,-0.005183
QO1La85,fnd6_xrent/liabilities,0.66,0.47,0.0298,0.004185
LEPANX9,fnd6_newqv1300_drltq/liabilities,0.54,0.33,0.0237,0.003956
r91vR5a,fnd6_txo/liabilities,0.27,0.18,0.0394,0.002761
R9Jnz61,fnd6_exre/liabilities,0.39,0.23,0.0305,0.002823
5rZo2EX,fnd6_cik/liabilities,-0.7,-0.69,0.0461,-0.00534
r91vxw1,fnd6_newqv1300_drcq/liabilities,0.9,0.62,0.0251,0.004728
lELXqgx,fnd6_newqv1300_acomincq/liabilities,-0.51,-0.27,0.0335,-0.002084
aerv3KO,fnd6_city/liabilities,-0.23,-0.14,0.0421,-0.002234
AeRKabY,fnd6_weburl/liabilities,-0.58,-0.54,0.0411,-0.005282
oR1OnQk,fnd6_mfmq_cshprq/liabilities,-0.69,-0.7,0.0386,-0.006741
1OqEgPW,fnd6_newa2v1300_ppent/liabilities,0.15,0.04,0.0196,0.001002
KvKaEWE,fnd6_cshtrq/liabilities,-0.0,-0.0,0.045,-6.7e-05
KvKaEWE,fnd6_cshtrq/liabilities,-0.0,-0.0,0.045,-6.7e-05
mdP90p2,fnd6_mrc2/liabilities,-0.02,-0.0,0.0302,-0.000102
gXYpNRm,fnd6_teq/liabilities,-0.24,-0.11,0.0297,-0.001871
nm1bpAd,fnd6_cptmfmq_lctq/liabilities,-0.34,-0.14,0.0209,-0.002029
aer3Zd9,fnd6_newa1v1300_gp/liabilities,0.66,0.42,0.0206,0.004981
8VmqAk7,fnd6_loc/liabilities,-0.22,-0.16,0.0376,-0.00346
gXYzxRQ,fnd6_acqgdwl/liabilities,-0.78,-0.69,0.0345,-0.005722
W3EmPKZ,fnd6_fyrc/liabilities,-0.45,-0.35,0.0442,-0.003486
xVKa2zg,fnd6_newqv1300_intanoq/liabilities,-0.48,-0.23,0.0302,-0.00183
Y8jd97R,fnd6_mfma1_at/liabilities,-0.27,-0.13,0.0305,-0.002022
291k32N,fnd6_cptmfmq_ceqq/liabilities,-0.2,-0.09,0.0363,-0.00149
vZK0Maw,fnd6_ein/liabilities,-0.3,-0.19,0.0482,-0.002081
gXYv7xl,fnd6_dlto/liabilities,1.19,0.79,0.0256,0.004249
xVKMQ5l,fnd6_newa1v1300_bkvlps/liabilities,-0.66,-0.57,0.0418,-0.004527
aerJnbW,assets/operating_income,0.18,0.07,0.0576,0.000622
w386Zd1,liabilities/operating_income,0.26,0.12,0.0578,0.00093
qOKbYME,sales/operating_income,0.02,0.0,0.0566,9.1e-05
AeR6X3R,capex/operating_income,0.26,0.13,0.0577,0.001025
w38X8Wd,debt/operating_income,0.01,0.0,0.0636,4.9e-05
1Oq6E9J,ebit/operating_income,0.36,0.19,0.059,0.00123
VZvKw1G,ebitda/operating_income,0.37,0.22,0.0605,0.001467
VZvKEpV,equity/operating_income,0.09,0.02,0.057,0.000335
VZvKXAV,enterprise_value/operating_income,0.28,0.15,0.0743,0.000972
xVKXdMw,eps/operating_income,-0.31,-0.18,0.0595,-0.00138
ZgRkARd,debt_lt/operating_income,0.38,0.22,0.0567,0.001507
gXY75R0,assets_curr/operating_income,-0.14,-0.05,0.0579,-0.000511
PxJjkpM,goodwill/operating_income,0.52,0.33,0.0562,0.001746
OR1wQZp,cash/operating_income,-0.12,-0.04,0.0581,-0.000465
QO1rJwK,income/operating_income,-0.23,-0.11,0.0623,-0.000974
73kqVjb,revenue/operating_income,0.02,0.0,0.0566,7.3e-05
R9JZqld,cogs/operating_income,-0.02,-0.0,0.0558,-8.4e-05
OR1wnpq,cashflow_op/operating_income,0.26,0.12,0.0595,0.000963
MdjlGjo,bookvalue_ps/operating_income,0.13,0.05,0.0608,0.000532
W3EwbqN,ppent/operating_income,0.13,0.05,0.0604,0.000539
kvxka3P,operating_expense/operating_income,0.02,0.0,0.0563,6.6e-05
R9JZzJz,inventory/operating_income,0.04,0.01,0.0614,0.000145
xVKw7Vw,cashflow/operating_income,0.09,0.03,0.0554,0.000379
0xb9be1,sga_expense/operating_income,0.19,0.08,0.0568,0.000737
pxqorJ3,debt_st/operating_income,-0.54,-0.35,0.0623,-0.001732
oR1Ag5m,cash_st/operating_income,-0.23,-0.1,0.056,-0.00083
JoVYQLx,receivable/operating_income,0.03,0.0,0.0583,8.6e-05
nm1Yaqd,return_equity/operating_income,-0.1,-0.04,0.0678,-0.000497
qOKvGdv,retained_earnings/operating_income,0.33,0.17,0.0635,0.001087
aerM8vR,fnd6_fopo/operating_income,-0.17,-0.07,0.0579,-0.000702
Y8jneeJ,income_tax/operating_income,0.01,0.0,0.0605,4.7e-05
mdPALWK,liabilities_curr/operating_income,0.03,0.0,0.0587,9.2e-05
kvxX2L6,pretax_income/operating_income,-0.06,-0.02,0.0625,-0.000285
xVKQXMW,cashflow_fin/operating_income,0.1,0.03,0.0583,0.000403
jo5Xwek,income_beforeextra/operating_income,-0.09,-0.03,0.0626,-0.000403
dY2mdPg,current_ratio/operating_income,0.6,0.44,0.0606,0.002259
ENZbeJm,sales_growth/operating_income,-1.07,-1.32,0.0877,-0.004347
xVKQYap,return_assets/operating_income,-0.25,-0.15,0.0609,-0.001528
NLX6KKL,inventory_turnover/operating_income,-0.64,-0.63,0.0567,-0.004269
qOKdGXA,sales_ps/operating_income,0.42,0.24,0.054,0.001546
gXYK08K,cashflow_dividends/operating_income,0.19,0.07,0.0512,0.000723
JoVm9X2,invested_capital/operating_income,0.21,0.09,0.0577,0.000755
dY27mbv,fnd6_drlt/operating_income,-0.51,-0.36,0.0536,-0.002322
QO1lnAK,cashflow_invst/operating_income,-0.58,-0.39,0.0587,-0.001971
vZKzvob,employee/operating_income,0.32,0.16,0.0613,0.001054
r91zOO9,working_capital/operating_income,-0.29,-0.14,0.0565,-0.001075
AeRaLgl,depre_amort/operating_income,0.14,0.05,0.0609,0.000537
xVKzGGJ,fnd6_ivaco/operating_income,-1.2,-1.42,0.0648,-0.005432
OR1mjPp,fnd6_drc/operating_income,-0.47,-0.32,0.056,-0.002101
NLXjdbE,fnd6_mrcta/operating_income,0.04,0.01,0.0605,0.000155
vZKJRA3,fnd6_fatl/operating_income,0.02,0.0,0.0612,9.8e-05
6ZnYOkJ,rd_expense/operating_income,0.18,0.11,0.1093,0.000891
vZKJa2r,interest_expense/operating_income,0.44,0.29,0.0612,0.001799
Mdj5X9z,fnd6_ciother/operating_income,0.37,0.22,0.0441,0.002067
W3EWApO,fnd6_acdo/operating_income,-0.27,-0.15,0.0365,-0.00212
1OqnNZR,fnd6_acodo/operating_income,-0.23,-0.1,0.0501,-0.00098
aerWQZ6,fnd6_adesinda_curcd/operating_income,0.39,0.23,0.0577,0.00149
dY2lv9E,fnd6_newa2v1300_rdipeps/operating_income,0.13,0.07,0.0387,0.001674
KvKwoWE,fnd6_ci/operating_income,0.27,0.14,0.0615,0.001016
oR131bE,fnd6_ceql/operating_income,0.13,0.04,0.0611,0.000442
bJYoZqq,fnd6_acox/operating_income,-0.42,-0.25,0.0496,-0.001764
QO12dr5,fnd6_newqv1300_ancq/operating_income,0.38,0.23,0.0591,0.001504
bJYoVJ6,fnd6_zipcode/operating_income,0.53,0.43,0.0552,0.002945
NLXggrg,fnd6_intc/operating_income,0.26,0.14,0.0516,0.001444
vZKe1gr,fnd6_capxv/operating_income,0.29,0.15,0.0583,0.001132
Y8j28dw,fnd6_rea/operating_income,-0.02,-0.0,0.0508,-0.000138
PxJwAoJ,fnd6_itci/operating_income,-0.69,-0.6,0.0594,-0.00316
vZK5MbQ,fnd6_lcox/operating_income,-0.42,-0.26,0.0547,-0.001722
bJYN3ar,fnd6_state/operating_income,0.25,0.12,0.0572,0.000979
NLXnq8g,fnd6_recd/operating_income,0.03,0.0,0.0576,0.000113
r91bApj,fnd6_am/operating_income,0.1,0.03,0.0567,0.000338
dY2nRXJ,fnd6_ch/operating_income,-0.15,-0.05,0.054,-0.00058
pxqndJg,fnd6_xrent/operating_income,0.16,0.06,0.064,0.000628
OR1nRd1,fnd6_newqv1300_drltq/operating_income,-0.65,-0.52,0.0577,-0.00273
31MEJRN,fnd6_exre/operating_income,0.17,0.07,0.0571,0.000822
